,dataset_index,machine,shot
0,15218,east,73231
1,21345,cmod,1160426013
2,20422,cmod,1150630007
3,17286,east,77680
4,3367,d3d,164186
5,8633,east,56564
6,18676,east,80897
7,11170,east,64543
8,21113,cmod,1151001003
9,22291,cmod,1160831016
10,19925,cmod,1140729005
11,8608,east,56507
12,7265,d3d,175773
13,20950,cmod,1150904029
14,6797,d3d,174750
15,708,d3d,157946
16,721,d3d,157961
17,18861,east,81206
18,6425,d3d,173857
19,3748,d3d,165062
20,19521,cmod,1140402018
21,19411,cmod,1140220011
22,5361,d3d,170097
23,14288,east,71150
24,15166,east,73153
25,9269,east,59774
26,2383,d3d,161327
27,12322,east,67175
28,13955,east,70592
29,22121,cmod,1160811013
30,19611,cmod,1140515016
31,6214,d3d,173077
32,9693,east,62129
33,10167,east,62766
34,1695,d3d,160064
35,7950,east,55327
36,10613,east,63654
37,22344,cmod,1160913001
38,11622,east,65751
39,19163,east,81653
40,11968,east,66547
41,12338,east,67204
42,7953,east,55330
43,8455,east,56201
44,18447,east,80504
45,5295,d3d,169976
46,12397,east,67297
47,12735,east,67796
48,17229,east,77609
49,1033,d3d,158599
50,8141,east,55650
51,5888,d3d,171558
52,2462,d3d,161461
53,13139,east,69109
54,12016,east,66610
55,15931,east,74485
56,9614,east,61790
57,5431,d3d,170269
58,16971,east,77100
59,3846,d3d,165319
60,22374,cmod,1160914007
61,12161,east,66954
62,10810,east,63975
63,8431,east,56135
64,22282,cmod,1160831007
65,13391,east,69633
66,17804,east,79333
67,19998,cmod,1140801007
68,11660,east,65857
69,7840,east,55053
70,9165,east,57504
71,17782,east,79278
72,10619,east,63660
73,22158,cmod,1160817007
74,8712,east,56689
75,21050,cmod,1150925015
76,12629,east,67636
77,17283,east,77677
78,13377,east,69616
79,2141,d3d,160914
80,19345,cmod,1120830023
81,2182,d3d,161005
82,2137,d3d,160910
83,5902,d3d,171575
84,7666,d3d,176742
85,14892,east,72746
86,903,d3d,158330
87,11143,east,64510
88,9903,east,62420
89,2772,d3d,162722
90,3739,d3d,165052
91,7729,d3d,176885
92,9544,east,61518
93,12191,east,67006
94,15339,east,73441
95,10200,east,62803
96,811,d3d,158138
97,7146,d3d,175522
98,2635,d3d,162238
99,16593,east,75417
100,9783,east,62262
101,22334,cmod,1160909002
102,10110,east,62690
103,1300,d3d,159124
104,21258,cmod,1160415024
105,10285,east,62932
106,4030,d3d,165865
107,17299,east,77706
108,11131,east,64496
109,1846,d3d,160326
110,3145,d3d,163443
111,18437,east,80493
112,20036,cmod,1140806020
113,1760,d3d,160187
114,230,d3d,156835
115,18308,east,80271
116,9640,east,61885
117,5054,d3d,169280
118,2268,d3d,161139
119,13055,east,68938
120,10727,east,63840
121,6815,d3d,174819
122,2729,d3d,162511
123,22301,cmod,1160901002
124,6544,d3d,174147
125,6440,d3d,173890
126,9912,east,62435
127,14564,east,71581
128,14750,east,72338
129,8884,east,56941
130,22538,cmod,1160930014
131,9526,east,61488
132,12400,east,67301
133,10894,east,64132
134,20775,cmod,1150813019
135,3556,d3d,164623
136,461,d3d,157295
137,18820,east,81139
138,15740,east,74061
139,627,d3d,157729
140,15539,east,73768
141,17214,east,77591
142,18767,east,81055
143,15899,east,74432
144,10964,east,64263
145,6760,d3d,174688
146,7336,d3d,175910
147,19538,cmod,1140415022
148,2060,d3d,160721
149,11455,east,64968
150,12800,east,67897
151,6300,d3d,173380
152,19860,cmod,1140715014
153,11124,east,64487
154,11239,east,64630
155,18144,east,79964
156,21366,cmod,1160427004
157,6902,d3d,174956
158,4444,d3d,166737
159,15294,east,73337
160,1155,d3d,158817
161,18367,east,80377
162,6838,d3d,174853
163,6344,d3d,173556
164,15945,east,74506
165,17309,east,77718
166,9927,east,62458
167,4695,d3d,167372
168,15804,east,74174
169,12783,east,67864
170,236,d3d,156844
171,11103,east,64444
172,982,d3d,158479
173,21727,cmod,1160628006
174,568,d3d,157552
175,13171,east,69165
176,21154,cmod,1160401011
177,22276,cmod,1160830024
178,19599,cmod,1140515001
179,11208,east,64590
180,9145,east,57483
181,2704,d3d,162407
182,8172,east,55682
183,17424,east,78573
184,8403,east,56077
185,13355,east,69572
186,13142,east,69114
187,5812,d3d,171279
188,2403,d3d,161372
189,8083,east,55559
190,18533,east,80631
191,7579,d3d,176467
192,8335,east,55979
193,7087,d3d,175356
194,951,d3d,158421
195,9019,east,57278
196,5502,d3d,170385
197,21148,cmod,1160401003
198,15014,east,72916
199,7891,east,55245
200,4652,d3d,167310
201,17748,east,79220
202,1130,d3d,158769
203,6933,d3d,175010
204,6647,d3d,174413
205,15582,east,73827
206,21685,cmod,1160620009
207,18460,east,80524
208,15079,east,73032
209,3759,d3d,165087
210,2210,d3d,161043
211,11267,east,64680
212,4450,d3d,166783
213,9020,east,57279
214,11458,east,64971
215,3743,d3d,165056
216,7192,d3d,175604
217,8780,east,56784
218,4138,d3d,166085
219,10602,east,63643
220,710,d3d,157948
221,7012,d3d,175216
222,5682,d3d,170821
223,12582,east,67577
224,4584,d3d,167229
225,3517,d3d,164564
226,16041,east,74638
227,3567,d3d,164652
228,19350,cmod,1120831002
229,685,d3d,157902
230,14353,east,71239
231,3671,d3d,164899
232,10635,east,63708
233,12383,east,67262
234,21884,cmod,1160712012
235,13488,east,69777
236,10583,east,63620
237,17759,east,79244
238,18960,east,81330
239,16751,east,75645
240,3959,d3d,165537
241,14017,east,70695
242,5873,d3d,171485
243,11446,east,64958
244,16737,east,75629
245,6857,d3d,174873
246,10532,east,63554
247,2701,d3d,162404
248,14970,east,72853
249,4270,d3d,166417
250,8339,east,55983
251,9128,east,57460
252,4714,d3d,167391
253,20378,cmod,1150623010
254,16525,east,75295
255,14144,east,70951
256,19253,cmod,1120510008
257,10717,east,63817
258,9495,east,61412
259,2834,d3d,162804
260,3410,d3d,164266
261,9132,east,57464
262,5752,d3d,171138
263,6764,d3d,174693
264,6088,d3d,172368
265,8651,east,56585
266,1109,d3d,158743
267,19232,cmod,1120216019
268,11742,east,66088
269,8192,east,55711
270,7855,east,55194
271,11655,east,65851
272,3769,d3d,165097
273,7300,d3d,175852
274,5014,d3d,169036
275,13330,east,69537
276,8893,east,56958
277,19102,east,81519
278,7260,d3d,175740
279,20022,cmod,1140801032
280,9259,east,59761
281,6403,d3d,173804
282,20594,cmod,1150723028
283,19864,cmod,1140715024
284,21577,cmod,1160527017
285,18844,east,81179
286,12332,east,67188
287,92,d3d,156606
288,21852,cmod,1160707013
289,6534,d3d,174130
290,17478,east,78665
291,12529,east,67499
292,18965,east,81335
293,12848,east,67963
294,13003,east,68859
295,15180,east,73168
296,232,d3d,156837
297,11345,east,64809
298,1431,d3d,159376
299,18959,east,81329
300,19469,cmod,1140227007
301,13462,east,69714
302,9235,east,59619
303,15607,east,73870
304,7310,d3d,175872
305,13405,east,69648
306,3316,d3d,164076
307,6334,d3d,173545
308,18344,east,80333
309,11827,east,66332
310,12880,east,68463
311,9352,east,60150
312,4183,d3d,166149
313,7320,d3d,175891
314,16913,east,76947
315,9826,east,62322
316,13895,east,70497
317,6362,d3d,173695
318,14910,east,72774
319,5262,d3d,169901
320,20467,cmod,1150714006
321,1894,d3d,160419
322,18322,east,80300
323,14782,east,72409
324,15745,east,74066
325,5874,d3d,171486
326,21207,cmod,1160413027
327,9506,east,61429
328,2250,d3d,161108
329,7583,d3d,176471
330,10883,east,64121
331,2154,d3d,160949
332,16314,east,75016
333,163,d3d,156713
334,21182,cmod,1160412003
335,11842,east,66354
336,5271,d3d,169915
337,1399,d3d,159315
338,14498,east,71495
339,18053,east,79815
340,15049,east,73000
341,7906,east,55266
342,8529,east,56343
343,8107,east,55596
344,5230,d3d,169846
345,1359,d3d,159270
346,17544,east,78758
347,6554,d3d,174168
348,2781,d3d,162731
349,16516,east,75286
350,6495,d3d,174060
351,20967,cmod,1150916015
352,10030,east,62582
353,11606,east,65621
354,7242,d3d,175716
355,15067,east,73020
356,71,d3d,156518
357,377,d3d,157122
358,13021,east,68883
359,11232,east,64622
360,19708,cmod,1140617020
361,7207,d3d,175639
362,11858,east,66404
363,13425,east,69674
364,10441,east,63425
365,5685,d3d,170824
366,5408,d3d,170238
367,17493,east,78685
368,6919,d3d,174990
369,12492,east,67452
370,3679,d3d,164913
371,10640,east,63717
372,21030,cmod,1150923019
373,4575,d3d,167217
374,19266,cmod,1120615020
375,18394,east,80411
376,19461,cmod,1140226019
377,4357,d3d,166554
378,12514,east,67478
379,12658,east,67677
380,14543,east,71558
381,13362,east,69597
382,8784,east,56788
383,6659,d3d,174463
384,17771,east,79261
385,21091,cmod,1150929011
386,7919,east,55292
387,2005,d3d,160642
388,3635,d3d,164832
389,10984,east,64296
390,14297,east,71173
391,15679,east,73969
392,13397,east,69640
393,1197,d3d,158916
394,19296,cmod,1120718011
395,3572,d3d,164658
396,7861,east,55200
397,16886,east,76912
398,20562,cmod,1150722018
399,15494,east,73694
400,8045,east,55497
401,9698,east,62135
402,21905,cmod,1160718025
403,6963,d3d,175052
404,14433,east,71410
405,19852,cmod,1140715006
406,15348,east,73451
407,9185,east,59356
408,13501,east,69817
409,1955,d3d,160522
410,4785,d3d,167483
411,15713,east,74031
412,22474,cmod,1160923018
413,6712,d3d,174605
414,20003,cmod,1140801012
415,12375,east,67252
416,3185,d3d,163490
417,15039,east,72972
418,78,d3d,156546
419,2945,d3d,163020
420,13260,east,69330
421,15227,east,73244
422,22441,cmod,1160921019
423,9820,east,62314
424,14054,east,70823
425,15236,east,73256
