,dataset_index,machine,shot
0,151,d3d,156700
1,5704,d3d,170857
2,11433,east,64941
3,8828,east,56859
4,10232,east,62851
5,4050,d3d,165892
6,14623,east,71680
7,2941,d3d,163004
8,11387,east,64878
9,6549,d3d,174157
10,7194,d3d,175606
11,19064,east,81468
12,18929,east,81294
13,13414,east,69663
14,14356,east,71242
15,8693,east,56650
16,6543,d3d,174145
17,8705,east,56669
18,2193,d3d,161017
19,14071,east,70841
20,2382,d3d,161322
21,2161,d3d,160971
22,15342,east,73445
23,4312,d3d,166469
24,17859,east,79481
25,2352,d3d,161260
26,10115,east,62695
27,12368,east,67243
28,3531,d3d,164593
29,297,d3d,156917
30,17422,east,78569
31,9336,east,60087
32,14833,east,72633
33,14254,east,71097
34,17535,east,78748
35,1201,d3d,158920
36,13232,east,69258
37,8347,east,55993
38,14175,east,70993
39,17334,east,77748
40,5944,d3d,171651
41,19020,east,81405
42,3852,d3d,165334
43,2969,d3d,163045
44,2252,d3d,161110
45,776,d3d,158051
46,14133,east,70938
47,6879,d3d,174902
48,914,d3d,158356
49,3984,d3d,165690
50,4331,d3d,166518
51,1256,d3d,158987
52,7107,d3d,175445
53,6161,d3d,172509
54,9445,east,61280
55,6080,d3d,172342
56,15336,east,73438
57,8712,east,56689
58,5517,d3d,170403
59,7594,d3d,176492
60,3201,d3d,163511
61,5719,d3d,170878
62,16772,east,76522
63,14604,east,71659
64,7591,d3d,176489
65,14123,east,70928
66,1274,d3d,159009
67,7182,d3d,175589
68,10525,east,63543
69,16974,east,77112
70,17244,east,77632
71,6072,d3d,172228
72,1820,d3d,160282
73,6314,d3d,173413
74,9090,east,57400
75,8307,east,55927
76,14503,east,71505
77,12813,east,67910
78,7086,d3d,175355
79,11239,east,64630
80,11747,east,66097
81,17513,east,78716
82,13280,east,69412
83,16500,east,75269
84,5115,d3d,169424
85,10391,east,63326
86,3977,d3d,165670
87,8943,east,57044
88,14724,east,72266
89,12482,east,67435
90,12120,east,66756
91,11619,east,65740
92,4917,d3d,168706
93,2238,d3d,161091
94,17077,east,77304
95,3253,d3d,163736
96,3745,d3d,165058
97,19154,east,81633
98,4279,d3d,166433
99,12831,east,67931
100,13079,east,69003
101,4036,d3d,165871
102,2366,d3d,161284
103,1629,d3d,159802
104,14307,east,71184
105,6744,d3d,174653
106,5292,d3d,169959
107,2585,d3d,161630
108,13123,east,69086
109,8164,east,55674
110,7681,d3d,176760
111,8287,east,55901
112,5102,d3d,169379
113,13937,east,70569
114,9816,east,62297
115,17988,east,79711
116,11880,east,66433
117,7916,east,55277
118,739,d3d,157988
119,163,d3d,156713
120,10198,east,62801
121,263,d3d,156872
122,11900,east,66464
123,12624,east,67630
124,15820,east,74190
125,9610,east,61716
126,4437,d3d,166727
127,15922,east,74476
128,13068,east,68990
129,3474,d3d,164433
130,17490,east,78681
131,3804,d3d,165182
132,5378,d3d,170152
133,6292,d3d,173370
134,16154,east,74827
135,9655,east,61957
136,7611,d3d,176509
137,111,d3d,156638
138,12317,east,67170
139,14980,east,72864
140,12675,east,67697
141,18092,east,79874
142,12269,east,67106
143,9154,east,57492
144,13572,east,69973
145,16686,east,75552
146,11660,east,65857
147,13091,east,69017
148,8383,east,56040
149,712,d3d,157952
150,16592,east,75405
151,18744,east,81018
152,6938,d3d,175015
153,6261,d3d,173254
154,9680,east,62093
155,6494,d3d,174059
156,7126,d3d,175494
157,6057,d3d,172204
158,10941,east,64234
159,8774,east,56776
160,7893,east,55249
161,10792,east,63950
162,13562,east,69962
163,17920,east,79583
164,10542,east,63564
165,13592,east,70010
166,17450,east,78615
167,9722,east,62184
168,16726,east,75611
169,15088,east,73048
170,17227,east,77605
171,9313,east,60022
172,14439,east,71424
173,16423,east,75154
174,14252,east,71095
175,6190,d3d,173004
176,18707,east,80952
177,12243,east,67078
178,12209,east,67024
179,16744,east,75636
180,15059,east,73012
181,7862,east,55201
182,7353,d3d,175934
183,9960,east,62492
184,18789,east,81082
185,15729,east,74050
186,416,d3d,157193
187,8565,east,56416
188,13968,east,70606
189,8035,east,55483
190,9312,east,60021
191,13873,east,70474
192,10914,east,64161
193,3784,d3d,165146
194,17614,east,78867
195,6563,d3d,174177
196,9384,east,60212
197,4685,d3d,167357
198,13058,east,68941
199,5010,d3d,169026
200,3229,d3d,163658
201,10934,east,64223
202,10314,east,62969
203,10184,east,62785
204,15679,east,73969
205,14930,east,72804
206,3252,d3d,163727
207,12941,east,68750
208,19031,east,81417
209,17347,east,78452
210,6129,d3d,172457
211,13098,east,69024
212,11729,east,66015
213,2426,d3d,161402
214,16692,east,75559
215,13000,east,68851
216,13904,east,70513
217,15590,east,73837
218,7048,d3d,175273
219,9289,east,59955
220,6183,d3d,172550
221,526,d3d,157483
222,10973,east,64272
223,1937,d3d,160490
224,8256,east,55831
225,10839,east,64043
226,207,d3d,156792
227,17503,east,78702
228,11371,east,64859
229,8232,east,55795
230,14828,east,72628
231,1165,d3d,158827
232,11658,east,65854
233,10296,east,62943
234,1142,d3d,158782
235,6696,d3d,174578
236,4656,d3d,167315
237,7994,east,55433
238,17887,east,79526
239,1081,d3d,158681
240,15405,east,73565
241,5067,d3d,169307
242,5170,d3d,169545
243,11428,east,64936
244,9715,east,62176
245,3567,d3d,164652
246,15457,east,73649
247,6339,d3d,173551
248,3136,d3d,163432
249,14777,east,72397
250,12452,east,67400
251,5017,d3d,169061
252,3310,d3d,164068
253,2172,d3d,160988
254,15063,east,73016
255,7068,d3d,175297
256,2399,d3d,161364
257,8333,east,55960
258,14572,east,71589
259,6461,d3d,173951
260,7797,d3d,177005
261,779,d3d,158054
262,13584,east,70000
263,14448,east,71434
264,12747,east,67811
265,8389,east,56046
266,15189,east,73177
267,1282,d3d,159017
268,8978,east,57146
269,5191,d3d,169595
270,9263,east,59766
271,14704,east,72236
272,4937,d3d,168768
273,18262,east,80194
274,13371,east,69609
275,3375,d3d,164195
276,14710,east,72246
277,18735,east,80988
278,5392,d3d,170175
279,9060,east,57351
280,16341,east,75045
281,7568,d3d,176410
282,2338,d3d,161242
283,16560,east,75349
284,1478,d3d,159448
285,7171,d3d,175556
286,109,d3d,156625
287,18587,east,80731
288,14303,east,71179
289,9424,east,61155
290,15006,east,72904
291,16932,east,76983
292,16788,east,76587
293,18082,east,79859
294,15544,east,73777
295,15231,east,73251
296,18901,east,81262
297,15784,east,74132
298,574,d3d,157558
299,13235,east,69264
300,11041,east,64373
301,12743,east,67807
302,1226,d3d,158952
303,13851,east,70450
304,16737,east,75629
305,16575,east,75368
306,1409,d3d,159335
307,13485,east,69774
308,6130,d3d,172458
309,15703,east,73998
310,996,d3d,158502
311,7309,d3d,175866
312,14029,east,70769
313,11201,east,64582
314,550,d3d,157523
315,16104,east,74720
316,9361,east,60167
317,10587,east,63625
318,723,d3d,157963
319,312,d3d,156949
320,138,d3d,156671
321,1670,d3d,160023
322,10408,east,63382
323,4243,d3d,166357
324,9208,east,59479
325,11808,east,66309
326,14008,east,70678
327,18048,east,79810
328,493,d3d,157405
329,1263,d3d,158995
330,13053,east,68936
331,7808,east,54774
332,11958,east,66536
333,5210,d3d,169625
334,30,d3d,156404
335,14905,east,72766
336,14408,east,71367
337,2882,d3d,162932
338,15900,east,74433
339,13084,east,69009
340,10001,east,62548
341,9797,east,62277
342,1189,d3d,158904
343,10619,east,63660
344,17175,east,77517
345,3569,d3d,164654
346,18825,east,81144
347,3476,d3d,164435
348,15750,east,74085
349,8005,east,55444
350,3270,d3d,163796
351,11655,east,65851
352,18669,east,80878
353,9853,east,62349
354,728,d3d,157968
355,15550,east,73791
356,4490,d3d,166854
357,5239,d3d,169859
358,16485,east,75253
359,17823,east,79361
360,11190,east,64570
361,4092,d3d,165969
362,8704,east,56668
363,13007,east,68866
364,4069,d3d,165938
365,5125,d3d,169440
366,1546,d3d,159599
367,5587,d3d,170598
368,6100,d3d,172403
369,225,d3d,156822
370,15395,east,73539
371,5009,d3d,169025
372,7202,d3d,175634
373,3254,d3d,163737
374,200,d3d,156780
375,16855,east,76857
376,9390,east,60229
377,19123,east,81568
378,15315,east,73396
379,10749,east,63871
380,5597,d3d,170608
381,13992,east,70654
382,495,d3d,157407
383,7420,d3d,176034
384,11959,east,66537
385,7780,d3d,176973
386,4744,d3d,167431
387,10319,east,63097
388,12057,east,66662
